abafada,adj,-1
abafadas,adj,-1
abafado,adj,-1
abafados,adj,-1
abafante,adj,-1
abafantes,adj,-1
abaixada,adj,-1
abaixadas,adj,-1
abaixado,adj,-1
abaixados,adj,-1
abalada,adj,-1
abaladas,adj,-1
abalado,adj,-1
abalados,adj,-1
abalançado,adj,1
abalizada,adj,1
abalizadas,adj,1
abalizado,adj,1
abalizados,adj,1
abandalhada,adj,-1
abandalhadas,adj,-1
abandalhado,adj,-1
abandalhados,adj,-1
abandonada,adj,-1
abandonadas,adj,-1
abandonado,adj,-1
abandonados,adj,-1
abarbarado,adj,1
abarcante,adj,-1
abarcantes,adj,-1
abarrotada,adj,-1
abarrotadas,adj,-1
abarrotado,adj,-1
abarrotados,adj,-1
abastada,adj,1
abastadas,adj,1
abastado,adj,1
abastados,adj,1
abastecida,adj,0
abastecidas,adj,0
abastecido,adj,0
abastecidos,adj,0
abastoso,adj,1
abatida,adj,-1
abatidas,adj,-1
abatido,adj,-1
abatidos,adj,-1
abelhuda,adj,-1
abelhudas,adj,-1
abelhudo,adj,-1
abelhudos,adj,-1
abençoada,adj,1
abençoadas,adj,1
abençoado,adj,1
abençoados,adj,1
aberrante,adj,-1
aberrantes,adj,-1
aberrantes,adj,-1
aberrativa,adj,-1
aberrativas,adj,-1
aberrativo,adj,-1
aberrativos,adj,-1
aberratório,adj,1
aberta,adj,0
abertão,adj,1
abertas,adj,0
aberto,adj,0
abertos,adj,0
abespinhada,adj,-1
abespinhadas,adj,-1
abespinhado,adj,-1
abespinhados,adj,-1
abestalhada,adj,-1
abestalhadas,adj,-1
abestalhado,adj,-1
abestalhados,adj,-1
abetumado,adj,-1
abilolada,adj,-1
abiloladas,adj,-1
abilolado,adj,-1
abilolados,adj,-1
abismada,adj,-1
abismadas,adj,-1
abismado,adj,-1
abismados,adj,-1
abismais,adj,-1
abismal,adj,-1
abjecta,adj,-1
abjectas,adj,-1
abjecto,adj,-1
abjectos,adj,-1
abjeta,adj,-1
abjetas,adj,-1
abjeto,adj,-1
abjetos,adj,-1
abnegada,adj,1
abnegadas,adj,1
abnegado,adj,1
abnegados,adj,1
abnormal,adj,1
abnóxio,adj,1
abobada,adj,-1
abobadas,adj,-1
abobado,adj,-1
abobados,adj,-1
abobalhada,adj,-1
abobalhadas,adj,-1
abobalhado,adj,-1
abobalhados,adj,-1
abodegado,adj,-1
abolicionista,adj,0
abolicionistas,adj,0
abolida,adj,-1
abolidas,adj,-1
abolido,adj,-1
abolidos,adj,-1
abominado,adj,-1
abominador,adj,-1
abominadora,adj,-1
abominadoras,adj,-1
abominadores,adj,-1
abominanda,adj,-1
abominandas,adj,-1
abominando,adj,-1
abominandos,adj,-1
abomináveis,adj,-1
abominável,adj,-1
abominoso,adj,-1
abonada,adj,1
abonadas,adj,1
abonado,adj,1
abonados,adj,1
abonatória,adj,1
abonatórias,adj,1
abonatório,adj,1
abonatórios,adj,1
abonecada,adj,0
abonecadas,adj,0
abonecado,adj,0
abonecados,adj,0
aborígene,adj,-1
aborígenes,adj,-1
aborrecedor,adj,-1
aborrecida,adj,-1
aborrecidas,adj,-1
aborrecido,adj,-1
aborrecidos,adj,-1
aborrecível,adj,-1
aborrido,adj,-1
aborrível,adj,-1
abortada,adj,-1
abortadas,adj,-1
abortado,adj,-1
abortados,adj,-1
abraçada,adj,1
abracadabrante,adj,1
abracadábrico,adj,1
abraçadas,adj,1
abraçado,adj,1
abraçados,adj,1
abrangente,adj,1
abrangentes,adj,1
abrangida,adj,-1
abrangidas,adj,-1
abrangido,adj,-1
abrangidos,adj,-1
abrasileirada,adj,0
abrasileiradas,adj,0
abrasileirado,adj,0
abrasileirados,adj,0
abrigada,adj,0
abrigadas,adj,0
abrigado,adj,0
abrigados,adj,0
abrilhantada,adj,1
abrilhantadas,adj,1
abrilhantado,adj,1
abrilhantados,adj,1
abrupta,adj,-1
abruptas,adj,-1
abrupto,adj,-1
abruptos,adj,-1
abrutado,adj,-1
abrutalhada,adj,-1
abrutalhadas,adj,-1
abrutalhado,adj,-1
abrutalhados,adj,-1
absentista,adj,-1
absentistas,adj,-1
absoluta,adj,1
absolutas,adj,1
absolutista,adj,0
absolutistas,adj,0
absoluto,adj,1
absolutos,adj,1
absolvida,adj,0
absolvidas,adj,0
absolvido,adj,0
absolvidos,adj,0
absorta,adj,-1
absortas,adj,-1
absorto,adj,-1
absortos,adj,-1
absorvente,adj,1
absorventes,adj,1
